"Policy Instrument","Main Classification","Secondary Classification","url"
"National Space Strategy","Legislative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Regional space strategies","Legislative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Cluster development activities","Administrative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Stakeholder engagement activities","Administrative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Business case development and evidence gathering","Administrative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Establishment of a North West Space Cluster leadership group","Administrative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Creation of a new cluster website","Administrative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Research for a local skills strategy","Administrative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Refining the local space proposition","Administrative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Appointing space cluster managers","Administrative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Appointing a space Wales development manager","Administrative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Appointing cluster development managers","Administrative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Hosting a regional showcase event","Administrative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Hosting a series of workshops and events","Administrative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Promoting the West Midlands cluster","Administrative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Identifying business opportunities","Administrative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Connecting businesses to academia and space suppliers","Administrative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Mapping world-leading research programmes","Administrative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Developing commercial and funding opportunities","Administrative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Scaling regional STEM activities","Administrative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Undertaking a series of stakeholder engagement activities","Administrative","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Establishing a North West Space Cluster","Institutional","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Creation of a new cluster leadership group","Institutional","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Development of a local skills strategy","Informational","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Public awareness campaigns","Informational","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Stakeholder engagement","Informational","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Research and innovation","Market-based","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Space sector growth ambitions","Market-based","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Commercial and funding opportunities","Market-based","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Space-related research, innovation and business assets","Market-based","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Space sector activities","Market-based","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Space businesses","Market-based","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Space ecosystem","Market-based","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Space sector growth","Market-based","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Space-related research and innovation","Market-based","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Space-related business assets","Market-based","","https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk"
"Public meeting of the MMO board","Administrative","","https://www.gov.uk/government/news/marine-management-organisation-board-meeting"
"Prior appointment for public attendance","Administrative","","https://www.gov.uk/government/news/marine-management-organisation-board-meeting"
"Written notice in advance for public questions or comments","Administrative","","https://www.gov.uk/government/news/marine-management-organisation-board-meeting"
"Protocols for public attendance at MMO board meetings","Administrative","","https://www.gov.uk/government/news/marine-management-organisation-board-meeting"
"Right to eject persons who disrupt meetings","Legislative","","https://www.gov.uk/government/news/marine-management-organisation-board-meeting"
"Right to reserve the right not to admit members of the public","Legislative","","https://www.gov.uk/government/news/marine-management-organisation-board-meeting"
"Right to participate in discussions at the chair's discretion","Legislative","","https://www.gov.uk/government/news/marine-management-organisation-board-meeting"
"Approval of the chair for cameras or recording equipment","Legislative","","https://www.gov.uk/government/news/marine-management-organisation-board-meeting"
"New failure to prevent fraud offence","Legislative","Welfare","https://www.gov.uk/government/news/new-crackdown-on-fraud-introduced-by-home-office?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_289"
"Guidance on reasonable prevention measures","Administrative","Informational","https://www.gov.uk/government/news/new-crackdown-on-fraud-introduced-by-home-office?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_289"
"Tighter legislation through the Economic Crime and Corporate Transparency Bill","Legislative","Monetary","https://www.gov.uk/government/news/new-crackdown-on-fraud-introduced-by-home-office?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_289"
"Enforcement action under new Home Office plans","Administrative","Legislative","https://www.gov.uk/government/news/new-crackdown-on-fraud-introduced-by-home-office?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_289"
"Creation of the failure to prevent fraud offence","Institutional","Legislative","https://www.gov.uk/government/news/new-crackdown-on-fraud-introduced-by-home-office?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_289"
"Publication of the Economic Crime Plan 2","Informational","Other","https://www.gov.uk/government/news/new-crackdown-on-fraud-introduced-by-home-office?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_289"
"Recommendations from the Law Commission's 2022 review of corporate criminal liability","Informational","Other","https://www.gov.uk/government/news/new-crackdown-on-fraud-introduced-by-home-office?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_289"
"Creation of the Economic Crime Plan 2","Institutional","Other","https://www.gov.uk/government/news/new-crackdown-on-fraud-introduced-by-home-office?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_289"
"£100 million investment in prison security","Welfare","","https://www.gov.uk/government/news/100-million-crackdown-on-crime-in-prison?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_103"
"Airport-style security measures","Legislative","","https://www.gov.uk/government/news/100-million-crackdown-on-crime-in-prison?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_103"
"X-ray scanners and metal detectors","Legislative","","https://www.gov.uk/government/news/100-million-crackdown-on-crime-in-prison?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_103"
"Cutting-edge technology to detect and block mobile phones","Legislative","","https://www.gov.uk/government/news/100-million-crackdown-on-crime-in-prison?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_103"
"Improving intelligence analysis","Legislative","","https://www.gov.uk/government/news/100-million-crackdown-on-crime-in-prison?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_103"
"Strengthening the counter corruption unit","Legislative","","https://www.gov.uk/government/news/100-million-crackdown-on-crime-in-prison?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_103"
"Recruitment of 4,700 additional prison officers","Monetary","","https://www.gov.uk/government/news/100-million-crackdown-on-crime-in-prison?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_103"
"£2.5 billion prison capacity investment programme","Monetary","","https://www.gov.uk/government/news/100-million-crackdown-on-crime-in-prison?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_103"
"£70 million investment in prison security","Monetary","","https://www.gov.uk/government/news/100-million-crackdown-on-crime-in-prison?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_103"
"New security measures such as improved search teams","Legislative","","https://www.gov.uk/government/news/100-million-crackdown-on-crime-in-prison?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_103"
"Digital categorisation tool to better manage offenders’ risk","Legislative","","https://www.gov.uk/government/news/100-million-crackdown-on-crime-in-prison?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_103"
"Improvements to the physical security and safety of the prison estate","Legislative","","https://www.gov.uk/government/news/100-million-crackdown-on-crime-in-prison?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_103"
"Building intelligence capabilities","Legislative","","https://www.gov.uk/government/news/100-million-crackdown-on-crime-in-prison?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_103"
"Financial investigations unit","Legislative","","https://www.gov.uk/government/news/100-million-crackdown-on-crime-in-prison?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_103"
"Serious and organised crime task force","Legislative","","https://www.gov.uk/government/news/100-million-crackdown-on-crime-in-prison?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_103"
